"IdDiagnosticoCaracteristica","IdDiagnostico","DescricaoCaracteristica"
575,209,"	Expressa desejo de aumentar a sensação de contentamento"
576,209,"	Expressa desejo de aumentar o relaxamento 
"
577,209,"Expressa desejo de aumentar o conforto "
578,209,"Expressa desejo de intensificar a resolução das queixas "
579,210,"Ansiedade "
580,210,"Choro "
581,210,"Incapacidade de relaxar "
582,210,"Inquietação "
583,210,"Irritabilidade "
584,210,"Lamentação "
585,210,"Medo "
586,210,"Padrão de sono perturbado "
587,210,"Relato de falta de satisfação com a situação "
588,210,"Relato de falta de sentir-se à vontade com a situação "
589,210,"Relato de fome "
590,210,"Relato de prurido "
591,210,"Relato de sentir calor "
592,210,"Relato de sentir frio "
593,210,"Relato de sentir-se desconfortável "
594,210,"Relato de sintomas de angústia "
595,210,"Suspiros "
596,211,"Alterações na pressão sanguínea "
597,211,"Comportamento de distração (p.ex., andar de um lado para outro, procurar outras pessoas e/ou atividades, atividades repetidas) "
598,211,"Comportamento de proteção "
599,211,"Comportamento expressivo (p. ex., agitação, gemido, choro, vigilância, irritabilidade, suspiro) "
600,211,"Diaforese "
601,211,"Dilatação pupilar "
602,211,"Distúrbio no padrão de sono "
603,211,"Evidência observada de dor "
604,211,"Expressão facial (p. ex., olhos sem brilho, aparência abatida, movimento fixo ou disperso, careta) "
605,211,"Foco em si próprio "
606,211,"Foco estreitado (p. ex., percepção do tempo alterada, processos de pensamento prejudicados, interação reduzida com pessoas e o ambiente) "
607,211,"Gestos protetores "
608,211,"Mudanças na frequência cardíaca "
609,211,"Mudanças na freqüência respiratória "
610,211,"Mudanças no apetite "
611,211,"Posição para evitar dor "
612,211,"Relato codificado (p. ex., uso da escala da dor) "
613,211,"Relato verbal de dor "
614,212,"Alteração da capacidade de continuar atividades prévias "
615,212,"Anorexia "
616,212,"Atrofia do grupo muscular envolvido "
617,212,"Comportamento de proteção "
618,212,"Comportamento observado de defesa "
619,212,"Depressão "
620,212,"Expressão facial (p. ex., olhos sem brilho, aparência abatida, movimento fixo ou disperso, careta) "
621,212,"Fadiga "
622,212,"Foco em si próprio "
623,212,"Interação reduzida com as pessoas "
624,212,"Inquietação "
625,212,"Irritabilidade "
626,212,"Medo de nova lesão "
627,212,"Mudanças no padrão de sono "
628,212,"Relato codificado (p. ex., escala de dor) "
629,212,"Relato verbal de dor "
630,212,"Respostas mediadas pelo sistema nervoso simpático (p. ex., temperatura, frio, mudanças na posição do corpo, hipersensibilidade)"
631,213,"Aversão à comida "
632,213,"Deglutição aumentada "
633,213,"Relato de gosto amargo na boca "
634,213,"Relato de náusea "
635,213,"Salivação aumentada "
636,213,"Sensação de vontade de vomitar "
637,214,"Ações repetitivas "
638,214,"Ações sem sentido "
639,214,"Afeto embotado "
640,214,"Afeto triste "
641,214,"Apresenta comportamento não aceito pelo grupo cultural dominante "
642,214,"Ausência de pessoas significativas "
643,214,"Comportamentos inapropriados para o estágio de desenvolvimento "
644,214,"Doença "
645,214,"Evidência de deficiência (p. ex., física, mental) "
646,214,"Não comunicativo "
647,214,"Preocupação com os próprios pensamentos "
648,214,"Procura ficar sozinho "
649,214,"Projeta hostilidade "
650,214,"Retraído "
651,214,"Sem contato visual "
652,214,"Vive em uma subcultura "
653,214,"Experimenta sentimentos de diferenças com relação aos outros "
654,214,"Incapacidade de atender às expectativas de outros "
655,214,"Insegurança em público "
656,214,"Interesses inapropriados para idade/estágio de desenvolvimento "
657,214,"Relato de inadequação de finalidade na vida "
658,214,"Relato de sentimentos de rejeição "
659,214,"Relato de sentimentos de solidão imposta por outros "
660,214,"Relato de valores inaceitáveis para o grupo cultural dominante "
